Year,Title,Where
2014,Excellent Resident,"The Department of Thoracic Surgery, Samsung Medical Center, Korea"
2016.10,Young Investigator Award,"The 48th Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, Daegu, Korea"

